RK_YearMonth,TicketCount,MedianResolutionHours,AverageFirstResponseHours,ReportedSLABreachRate,EscalationRate,AverageCSAT
2024-01,5616,120.35,36.143963675213676,0.4926994301994302,0.5016025641025641,3.0333454810495626
2024-02,5384,122.235,36.21353454680535,0.49814264487369986,0.49907132243684993,3.00760022800684
2024-03,5616,119.18,36.195635683760685,0.5124643874643875,0.5028490028490028,2.9860481971371624
2024-04,5489,121.95,36.73025687739115,0.4880670431772636,0.49298597194388777,3.0050027793218455
2024-05,5845,120.74,36.30199315654406,0.5036783575705731,0.5151411462788709,2.9956217162872156
2024-06,5478,122.28999999999999,35.94316903979554,0.5120481927710844,0.5010952902519168,3.0074724453577435
2024-07,5708,119.08500000000001,36.30115977575333,0.5159425367904695,0.5024526979677646,3.0073188147090324
2024-08,5710,120.35,36.493190893169874,0.5005253940455342,0.4978984238178634,3.020911528150134
2024-09,5565,118.75,37.11887331536388,0.5000898472596585,0.4988319856244385,2.949258105880198
2024-10,5513,118.95,36.52278070016325,0.5048068202430619,0.5026301469254489,2.994810971089696
2024-11,5449,121.34,36.69581941640668,0.49770600110111946,0.49770600110111946,2.999252895031752
2024-12,5784,120.71,36.44506051175657,0.48858921161825725,0.5235131396957123,2.999823602046216
2025-03,10,164.25,33.266,0.4,0.4,2.7
